family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,derivative_scale,restart
rank2,2,softplus,1.0,-0.47107628413150326,0.00016673078067522577,1800,77,2.72804949991405,True,True,-0.4528527915479048,0.011400860084702421,-0.47286120389897135,0.011105245682211023,True,True,,independent,False,map,log,1,5,0.03233473952504486,1
rank2,2,softplus,1.0,-0.4698664525513916,0.0002811840958219254,1400,95,2.650311900069937,True,True,-0.4653192411409583,0.011157098612435188,-0.4691784536982512,0.01116239434082189,True,True,,independent,True,map,log,1,5,0.03233473952504486,2
rank2,2,exp,1.0,-0.49905315733358613,0.00018862746782521446,2400,73,2.3514326999429613,True,True,-0.512092916229679,0.012069131312133845,-0.5023869820289684,0.011395183107086638,True,True,,independent,True,map,log,1,5,0.03233473952504486,0
rank2,2,exp,1.0,-0.4996202049972158,0.00012156643291603992,2400,99,2.696799600031227,True,True,-0.5158451057470501,0.011488420957107842,-0.506244429620067,0.01125763506574829,True,True,,independent,False,map,log,1,5,0.03233473952504486,1
rank2,2,exp,1.0,-0.5002118210342967,0.0002982124710301868,2200,73,2.7983023999258876,True,True,-0.4992412559718934,0.01167186244020055,-0.49559059867788313,0.011551263508783225,True,True,,independent,False,map,log,1,5,0.03233473952504486,2
rank2,2,squareplus,0.008083684881261216,-0.8251466824691178,0.00010874512312743791,2200,113,3.82744610006921,True,True,-0.8368337623339139,0.012131561048064137,-0.8271988986565577,0.01250509657885273,True,True,,independent,False,map,log,1,5,0.03233473952504486,0
rank2,2,squareplus,0.008083684881261216,-0.8250696494285705,3.546834977875909e-06,1600,103,3.3439566001761705,True,True,-0.79547048977306,0.012104627917381776,-0.8175534140140679,0.01236037990427624,True,True,,independent,True,map,log,1,5,0.03233473952504486,1
rank2,2,squareplus,0.008083684881261216,-0.8251614522122921,0.00010190663701231926,2400,107,3.968648700043559,True,True,-0.8401653728294571,0.012678088348790703,-0.8228430887653493,0.012406736370592239,True,True,,independent,False,map,log,1,5,0.03233473952504486,2
rank2,2,softplus,1.0,-49.185371015199195,1.3708889600062029,8000,500,52.92891760007478,True,False,-49.137673058154945,0.03757791991120545,-49.19146106743975,0.037341210422146755,True,False,normalized_gradient,independent,False,map,log,2,20,0.054648089155877,0
rank2,2,softplus,1.0,-48.85054921049178,23.31375395216334,6600,500,48.4656144999899,False,False,-48.80788983674163,0.03559676734481185,-48.832602870146744,0.03539330991291193,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,2,20,0.054648089155877,1
rank2,2,softplus,1.0,-47.62199579224493,4.973685821756613,8000,500,49.03431020001881,False,False,-47.640289673892,0.03640221741818625,-47.61014761257515,0.036680737277639666,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,2,20,0.054648089155877,2
rank2,2,exp,1.0,-47.66347606944035,21.34056066305338,5400,500,27.45028209988959,False,False,-47.71078978198095,0.02972654030367201,-47.65766308161085,0.03028100686272892,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,2,20,0.054648089155877,0
rank2,2,exp,1.0,-47.48265044638265,15.349994565183108,4200,500,24.522641299990937,False,False,-47.48976439943908,0.03408021018112902,-47.469431609020155,0.03364406526538001,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,2,20,0.054648089155877,1
rank2,2,exp,1.0,-47.8753663498219,3.8771367750970134,6800,500,29.209409900009632,False,False,-47.92677913806746,0.03517411465309177,-47.863237706749466,0.03394322381402271,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,2,20,0.054648089155877,2
rank2,2,squareplus,0.01366202228896925,-43.26613353890565,3.997219509064049,8000,500,59.845360200153664,True,False,-43.338454481640966,0.03355587544934848,-43.22668780669375,0.03331676039739967,True,False,normalized_gradient,independent,False,map,log,2,20,0.054648089155877,0
rank2,2,squareplus,0.01366202228896925,-43.19000333314892,0.16638232553186302,8000,500,63.542127900058404,True,False,-43.15657775398479,0.034407504495290335,-43.19364029005975,0.03498874606356903,True,False,normalized_gradient,independent,False,map,log,2,20,0.054648089155877,1
rank2,2,squareplus,0.01366202228896925,-43.28172163714372,1.3528546901346612,7600,500,60.82929049991071,True,False,-43.24175404606042,0.035785158209417633,-43.2564051528025,0.03502138471978356,True,False,normalized_gradient,independent,False,map,log,2,20,0.054648089155877,2
