benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.936508065631586,0.0007328354864591063,2.478638579710128e-06,4,0.9999990003344682,finite_difference_sigmoid_data13_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.936746471763376,0.043400877121587994,0.008738242398934086,5,0.9957759350122871,finite_difference_sigmoid_data13_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98105,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.936746471763376,0.01148808749824533,0.0006064417916825665,5,0.9997381554124855,finite_difference_sigmoid_data13_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99773,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.936746471763376,0.002915150043935902,3.889796719703176e-05,5,0.9999836876468385,finite_difference_sigmoid_data13_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.936746471763376,0.0007321347679804937,2.447835612911723e-06,5,0.9999989809605846,finite_difference_sigmoid_data13_opt5,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.937364414385974,0.04331677120667254,0.008766999570407328,6,0.9958281793698672,finite_difference_sigmoid_data13_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98215,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.937364414385974,0.0114560387809821,0.0006069472923508665,6,0.9997417548665762,finite_difference_sigmoid_data13_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99811,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.937364414385974,0.0029080735628703417,3.897944959020509e-05,6,0.9999838951211254,finite_difference_sigmoid_data13_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.937364414385974,0.0007302210320574698,2.4513581565061528e-06,6,0.9999989942544805,finite_difference_sigmoid_data13_opt6,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.936326524298454,0.04325023864051851,0.008669094116025733,7,0.9958858518273302,finite_difference_sigmoid_data13_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98109,completed
